iter	Passed	Remaining
962	20606	791
963	20627	770
964	20647	748
965	20669	727
966	20690	706
967	20710	684
968	20730	663
969	20751	641
970	20772	620
971	20793	598
972	20814	577
973	20835	556
974	20855	534
975	20876	513
976	20897	491
977	20917	470
978	20939	449
979	20960	427
980	20981	406
981	21001	384
982	21021	363
983	21043	342
984	21063	320
985	21084	299
986	21105	277
987	21126	256
988	21147	235
989	21168	213
990	21188	192
991	21208	171
992	21228	149
993	21249	128
994	21269	106
995	21290	85
996	21311	64
997	21332	42
998	21353	21
999	21374	0
